name,size,width,height,aspect,long_side,sharpness,brightness,contrast,score
IMG_5419.JPEG,1892879,2268,4032,0.5625,4032,220.14,99.7,35.71,290.58
IMG_0081.jpeg,511981,1170,2208,0.5299,2208,251.24,99.09,62.33,276.36
IMG_6471.JPEG,454678,1536,2048,0.75,2048,243.07,142.96,42.86,267.38
IMG_5487.JPEG,1906203,2268,4032,0.5625,4032,196.26,123.41,42.48,259.06
IMG_0937.JPG,2323245,4032,3024,1.3333,4032,161.28,104.36,67.97,255.46
IMG_0175.JPEG,687745,1536,2048,0.75,2048,230.23,155.38,35.78,253.26
IMG_3191.JPEG,684256,1330,2364,0.5626,2364,227.83,141.14,48.21,250.61
IMG_3645.JPEG,854429,1330,2364,0.5626,2364,225.31,89.73,42.54,247.84
IMG_0241.JPEG,1573423,2268,4032,0.5625,4032,176.59,161.69,29.28,233.09
IMG_4611.JPEG,575134,1536,2048,0.75,2048,173.57,110.76,51.39,190.92
IMG_4610.JPEG,602138,1536,2048,0.75,2048,172.86,93.76,47.05,190.15
IMG_4634.JPEG,574472,2048,1536,1.3333,2048,133.05,132.47,62.94,175.63
IMG_0082.jpeg,416434,1537,2049,0.7501,2049,148.97,120.52,28.67,163.86
IMG_4613.JPEG,358701,1536,2048,0.75,2048,135.49,124.39,61.0,149.04
IMG_4618.JPEG,605017,1536,2048,0.75,2048,121.74,91.56,38.85,133.92
IMG_4632.JPEG,516689,1536,2048,0.75,2048,116.85,131.9,42.61,128.53
IMG_4631.JPEG,532543,1536,2048,0.75,2048,103.96,124.07,36.83,114.36
IMG_4620.JPEG,651501,1536,2048,0.75,2048,103.48,31.63,22.1,103.48
IMG_4612.JPEG,499472,1536,2048,0.75,2048,62.56,53.34,42.76,62.56
IMG_4621.JPEG,362608,2048,1536,1.3333,2048,26.69,24.95,28.03,32.03
